,plant_name,scan_nb,image_nb,voxel_size,session,pathname
137,5-qi-08,flushed,830,0.00450006,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5_Qi_08/slice00830.tif
138,5-qi-09,flushed,762,0.00450001,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5-qi-09/slice00762.tif
139,5-qi-10,flushed,831,0.00450006,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5_Qi_10/slice00831.tif
140,5-qi-11,flushed,790,0.00700682,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5_Qi_11_dry/slice00790.tif
141,5-qi-12,flushed,761,0.00450004,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5_Qi_12/slice00761.tif
142,5-qp-07,flushed,744,0.00449989,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5_Qp_07_dry/slice00744.tif
143,5-qp-08,flushed,757,0.00450002,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5_Qp_08/slice00757.tif
144,5-qp-09,flushed,779,0.00449996,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5-qp-09/slice00779.tif
145,5-qp-10,flushed,815,0.0045,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5_Qp_10/slice00815.tif
146,5-qp-11,flushed,741,0.00450001,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5-qp-11/slice00741.tif
147,5-qp-12,flushed,789,0.00450018,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/5_Qp_12/slice00789.tif
148,6-fs-07,flushed,759,0.00450004,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/6_Fs_07_dry/slice00759.tif
149,6-fs-08,flushed,760,0.00450015,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/6_Fs_08/slice00760.tif
150,6-fs-09,flushed,849,0.00388899,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/6_Fs_09/slice00849.tif
151,6-fs-10,flushed,759,0.00367326,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/6_Fs_10/slice00759.tif
152,6-fs-11,flushed,735,0.00367332,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/6_Fs_11/slice00735.tif
153,6-fs-12,flushed,458,0.00450011,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/6_Fs_12/slice00458.tif
