plant_name,chamber,species,rep,scan_nb,roi_surf,eq_diam_roi,air_surf,emb_vess_nb,mean_diam,std_diam,pourc_emb,coeff,coeff_diam,PLA,PLA_diam,ratio_l_f,image_nb,diam_roi,max_embolism,voxel_size,Q,used,comment
1-qp-09,1,qp,09,2,9.47157,3.47269,0.9836605355,3002,0.014206121392405064,0.014678496883414587,10.385401105624515,1.4233859856391284,1.4538265538810775,5.362090123837905,5.249817397838761,7.632323936004852,778,NA,23200,0.00388898,1,1,slightly damaged structure
1-qp-10,1,qp,10,2,8.46328,3.28265,0.7393541893,1256,0.023310537699044585,0.01436264173367954,8.736024204563716,1.3253372215027743,0.5801930779733474,1.9680608659493934,4.4956488087324855,2.6083443198257132,762,NA,23200,0.00450002,1.5,1,may be one of the two 6-qp-10
1-qp-11,1,qp,11,2,3.34046,2.06233,0.3660817319,903,0.017945646334440752,0.013940878908169778,10.95902156888572,1.52580482927501,1.280769794320264,6.160226631575947,7.338792330651074,9.399303543887108,786,NA,23200,0.00367323,1.5,1,
1-qp-12,1,qp,12,2,13.715,4.17882,1.5633657036,6713,0.011372481580515417,0.012931033483977278,11.398947893547211,1.1581625956981407,2.6479782707658863,22.032776169699513,9.636611267113901,25.517537239135326,746,NA,23400,0.00367317,1,1,
2-fs-07,2,fs,07,2,10.4541,3.64836,1.3072673948,2608,0.023687385,0.008783641207502704,12.504829634306155,1.4946958609540755,0.8485969011289899,8.066139318524744,14.207481829403052,12.056425053277863,744,860,22200,0.00449991,1,1,Nice resolution
2-fs-08,2,fs,08,2,13.6175,4.16393,2.3346248345,3424,0.027130225846962615,0.011495085941081949,17.14429839911878,1.5393721314485036,0.6679502621808827,4.025712165165156,9.277740375540526,6.197069116288456,751,NA,23500,0.0045001,1,1,
2-fs-09,2,fs,09,2,20.4389,5.10134,3.0242761747999998,5444,0.02343862994121969,0.0125688328833161,14.79666799485295,1.4120476150869177,0.8129624174027976,7.320414926882156,12.714947478105953,10.336774438950622,708,690,23500,0.00395315,1,1,
2-fs-10,2,fs,10,2,7.25458,3.03921,1.1839463405,1674,0.027646168058542413,0.011673782908695338,16.319984623506805,1.4901620769224406,0.5165792638102809,0.7453930949535839,2.1502150789150054,1.1107565224996785,760,NA,23500,0.00450025,2,1,
2-fs-11,2,fs,11,2,4.78009,2.46702,0.6320002771,1171,0.02450733975234842,0.009308289249014725,13.22151417860333,1.856548726070011,0.5369474236760232,0.21745631291138415,0.7518766696888046,0.4037182407115119,1144,NA,23300,0.00449992,1.5,1,
2-qi-07,2,qi,07,2,2.71456,1.85911,0.1296575884,262,0.023546704732824428,0.008714235283017346,4.776375854650476,1.3559877107155487,0.6571739164809829,15.68089826317334,32.35537017613685,21.263105337843843,1252,NA,23000,0.00700672,1,1,flushed too long ? do it again with another ROI -->done
2-qi-09,2,qi,09,2,1.70045,1.47142,0.0837547218,327,0.016473310183486238,0.00741037884838224,4.925444547031669,1.3395983416154547,0.9439069811721603,32.32021100898527,45.86903363563681,43.29610106829822,795,NA,23300,0.00450002,2,1,"vessels in the middle, taken out, ask Charlotte"
