plant_name,chamber,species,rep,scan_nb,roi_surf,eq_diam_roi,air_surf,emb_vess_nb,mean_diam,std_diam,pourc_emb,coeff,coeff_diam,PLA,PLA_diam,ratio_l_f,image_nb,diam_roi,max_embolism,voxel_size,Q,used,comment
3-qp-15,3,qp,15,1,22.1518,5.3108,0.6302123222,980,0.025783085714285715,0.01241678662881981,2.8449711635171857,1.1238578422668122,0.9700282005929286,47.942310957720785,55.5451296295245,53.88034214622862,799,810,22500,0.00664952,1,1,
3-qp-16,3,qp,16,1,15.9691,4.50916,0.4773873059,697,0.026143111721664277,0.013743094200882997,2.9894440256495356,1.0853882333750204,1.2568643275596647,38.722647632676754,33.43965230299631,42.02910610563444,795,690,22500,0.00663255,1,1,
3-qp-17,3,qp,17,1,16.4432,4.5756,0.7168417848,848,0.027393978608490566,0.018062809108360514,4.35950292400506,1.0014312076347316,1.2087659794637708,57.13338057497812,47.333521357737645,57.215150305455055,771,750,26000,0.00623239,2,1,
3-qp-18,3,qp,18,1,14.9946,4.36941,0.2976532077,555,0.02255760437837838,0.013203124375402709,1.9850693429634667,1.0362113526736971,1.0651968840215609,32.76157163513355,31.870082394149037,33.947912459757966,808,750,22500,0.00588344,1,1,
4-fs-13,4,fs,13,1,35.5979,6.73236,2.1714707899,4917,0.022066833056741914,0.008681304592935006,6.099996881557619,1.1426870136873732,0.8988432137931708,54.94487206570343,69.8506600647714,62.78479177819342,796,NA,23500,0.00644998,1,1,
4-fs-14,4,fs,14,1,25.6894,5.71915,0.3611975782,672,0.023031449375,0.01241545534975963,1.4060179614938457,1.2427147832817336,0.8332590384776855,23.8934971471818,35.63453951048611,29.69280212910275,963,800,26000,0.00719925,2.5,1,
4-fs-15,4,fs,15,1,21.556,5.23889,0.4744066953,1711,0.017661073495032147,0.006414048036700677,2.2008104254035996,1.0107612594659228,1.0423523692942904,34.75967793131522,33.70619847899688,35.13373584448601,794,790,23000,0.00670419,1,1,
4-fs-16,4,fs,16,1,39.176,7.06261,0.4519335443,1478,0.01846494259810555,0.006957138226655577,1.1535979791198692,1.0907673460296248,0.7025290998807102,16.057665432640203,24.931603702062567,17.5151771073926,799,NA,23000,0.00696465,1,1,
4-fs-17,4,fs,17,1,37.7162,6.92977,0.831453383,2181,0.019583699637780835,0.010095419756252397,2.204499347760379,1.012154049695008,1.187066675047558,67.22711425220754,57.321292367132436,68.04419593968088,843,1150,26000,0.00609222,2,1,
4-fs-18,4,fs,18,1,40.6778,7.1967,1.7801601571,3251,0.024825541113503536,0.008994967996093986,4.376244922537601,1.069219122919536,0.8888634272111777,48.65696207641807,58.529750153525754,52.02495431527686,796,1140,23000,0.00644998,1,1,
4-qi-13,4,qi,13,1,12.8974,4.05234,0.0470209527,125,0.01963042448,0.009713545644273994,0.3645769899359561,1.0962888665997994,3.043965255305502,5.43347913641281,1.9568760431051067,5.956662684151657,800,580,26000,0.00688131,2,1,
4-qi-14,4,qi,14,1,10.5319,3.66192,0.2628944465,1163,0.012668751943250215,0.011288325875716999,2.496173021961849,1.0258410768901096,1.1080342897616773,99.83962190640747,92.4335882013177,102.41958525277042,787,790,26000,0.00469292,2,1,
4-qi-15,4,qi,15,1,4.16093,2.30171,0.0121596256,90,0.012372893333333333,0.004375862459601343,0.2922333612918266,1.026850076379583,0.7163817173855905,11.304788042230392,16.204102063050176,11.608322464619274,772,390,22500,0.00591113,2,1,
4-qi-16,4,qi,16,1,4.78383,2.46799,0.0163032146,52,0.018496243076923078,0.0076288093371124355,0.34079836867112756,0.76525974805039,3.768919828246608,7.242837675766322,1.4706208642027236,5.542652134926807,781,320,28000,0.00772779,2.5,1,
4-qi-17,4,qi,17,1,6.51512,2.88016,0.0093645866,53,0.014539431509433962,0.0037195479608003214,0.14373621053794866,1.0621912528571846,0.7022487372794722,7.539094727926069,11.403310606848237,8.007960474464786,789,470,23000,0.0061326,1.5,1,
4-qp-13,4,qp,13,1,19.0422,4.92395,0.3416109182,477,0.025719383647798744,0.015839482033466676,1.793967704361891,1.0310134601015735,1.1184327629613617,33.75451627233365,31.116184869126425,34.80136061599358,797,760,22500,0.00653708,1,1,looks nice
4-qp-14,4,qp,14,1,20.3307,5.08782,0.3712897633,644,0.024123007096273293,0.012344512545437602,1.826251743914376,0.9827006177315043,1.2630639120087614,31.803510793710505,24.744060380369003,31.253329703009875,905,NA,23000,0.00772736,1,1,
4-qp-15,4,qp,15,1,17.4645,4.71556,0.385987188,567,0.02628728377425044,0.013268429154016034,2.210124469638409,0.99261132740345,1.4320166665227043,50.8328194011541,35.23508735688268,50.457232341439415,834,NA,23000,0.00632314,1,1,
4-qp-16,4,qp,16,1,18.8965,4.90508,0.354514493,585,0.023940963042735044,0.01409834792171619,1.8760854814383616,1.0380924128307816,1.3501801635579114,53.19476184207892,40.89904455794056,55.221078670602495,812,NA,23000,0.00632308,1,1,
4-qp-17,4,qp,17,1,23.2711,5.44332,0.4993167546,518,0.03001481030888031,0.018084767623704482,2.145651707912389,1.0231483516966666,1.2421690371726348,28.00906411967754,23.070473445259086,28.65742778661432,798,790,23000,0.00696392,1.5,1,excentr̩
